Item,Price,Variable ,"Weight per piece(g)",Calories,Fat (g),Cholesterol,Sodium,Carbohydrates (g),Protein (g),Calcium (mg),Iron,Pottassium,Vitamin D (mcg)
Aloo Toast,40,x1,50,133,1.6,0,188,24,6.3,94,1.1,359,0.1
Paneer Toast,60,x2,248,476,27,42,1502,41,18,462,3,404.8,1.6
Grilled Sandwich,70,x3,153,301,10,25,525,49,13,305,2.5,253.9,1
Aloo Samosa,10,x4,100,262,17,27,423,24,3.5,0,0,189.1,Nil
Bread Pakora,30,x5,36,98,4.2,0,126,12,2.7,24,0.8,71.2,0
Butter Toast,20,x6,34,111,4.8,10,173,14,2.6,43,1,37.7,0
Veg Chowmein,30,x7,222,273,7.5,0.6,699,45,7.3,0,0,345.8,Nil
Egg Chowmein,60,x9,100,138,2.07,29,165,25.16,4.54,12,1.47,38,Nil
Plain Maggi,70,x10,70 (per serving),310,13,5,970,43,6,0,0.7,Nil,Nil
Paneer Chowmein,100,x11,300,486,19.4,26.8,1855,65.8,13.2,Nil,Nil,352,Nil
White Sauce Pasta,40,x12,281,608,20.7,85.1,19.2,Nil,Nil,Nil,Nil,Nil,Nil
Chhole Bhature,40,x13,281,511,27,5.7,507,59,13,Nil,Nil,526.3,Nil
Paneer Parantha,40,x14,78,176,7.8,20,445,21,7.7,138,1.1,148.5,0.6
Sweet Lassi,50,x15,254,130,2.1,7.8,75,22,6.9,243,0.2,313.1,0
Samosa,60,x16,100,261,17,27,423,24,3.5,17,0.7,189.1,0.2
Jam Toast,100,x17,1 piece,400,13,0,550,62,4,Nil ,Nil,Nil,Nil
Paneer Bhujia,10,x18,40,220,16,0,566,10,9,267,2,321,0
Chilli Potato,50,x19,204,367,25,0,482,35,4,36,1.6,709.4,0
Tea,50,x20,304,92,4,12,52,11,3.8,138,0.1,198,1.6
Cold Coffee,40,x21,1 cup,290,5,20,140,53,9,322,0,646,0
Aloo Onion Parantha,50,x22,100,220,9,0,510,32,4,21,1.3,128,0
Cheese Toast,15,x23,59,208,12,34,338,15,9.3,231,1.1,58.4,0.2
Veg Puffs,15,x23,68,178.6,7.9,0,342.9,25.7,5,35.7,3.5,242.9,0
Egg Puffs,20,x24,50,146,9.81,41,134,11.53,3.11,Nil,Nil,78,Nil
Rajma Chawal,20,x25,220,316,7.93,17,410,50.91,10.53,Nil,Nil,444,Nil
French Fries,50,x26,117,365,17,0,246,48,4,21,1,677.4,0
Veg Maggi,60,x27,72.5,233,8,Nil,595,36.3,5.9,Nil,Nil,Nil,Nil
Egg Maggi,40,x28,100,138,2.1,29,5,25,4.5,12,1.5,38,0.1
Green Tea,15,x29,245,2.5,0,0,2.5,0,0.5,0,0.1,19.6,0
Lemon Tea,15,x30,181,2.2,0,0,0.6,0.7,0,0.3,0,40.2,0
Paneer Bhuji,60,x31,100,115,6.78,8,287,7.71,7.16,Nil,Nil,224,Nil
Kadhi Chawal,50,x32,462,496,32,16,973,40,14,Nil,Nil,836.4,Nil
Black Tea,10,x33,178,1.8,0,0,0,0,0,0,Nil,37.4,Nil
Black Coffee,20,x34,237,2.4,0.1,0,4.7,0,0.3,4.7,0,116.1,0
Coffee,20,x35,239,33,1.2,4.9,35,3,2.3,82,0.1,186.4,0.6
Pineapple Shake,50,x36,202,175,2.2,7.8,55,37,4.4,138,0.4,507.8,1
Butterscotch Shake,50,x37,100,109,4,Nil,Nil,15,3.2,107,Nil,126,Nil
Strawberry Shake,50,x38,100,113,2.8,11,83,18.9,3.4,Nil,Nil,182,Nil
Chocolate Shake,60,x39,226,371,17,53,153,51,8.2,Nil,Nil,494.4,Nil
Gobi Paratha,40,x40,100,254,11.4,0,503,34.26,5.01,Nil,Nil,206,Nil
